Dataset identifier,Source identifier,Study identifier,Independent screen identifier,Data source,Observations (n),Accessions or lines assessed (n),Diseases (n),Endpoints (n),Environments (n),Study roles,Pareto analysis identifier,Candidate criteria applied (n),Candidates (n),Role in the analysis
ref_mpofu_grain_mold_fgs_2014,ref_mpofu_grain_mold_fgs_2014,ref_mpofu_grain_mold_fgs_2014,experiment:unresolved_prior_field_evaluations_reported_by_mpofu_2014,Publicly available study source,22,11,1,2,1,Selected genotype for 2006 greenhouse experiment,,0,0,Historical phenotype source
ref_nageshkumar_india_genetic_gain_grain_mold_2022,ref_nageshkumar_india_genetic_gain_grain_mold_2022,ref_nageshkumar_india_genetic_gain_grain_mold_2022,experiment:india_genetic_gain_six_locations_2018_2020,Publicly available study source,96,24,1,1,4,Aet i entry; Aet ii entry; Released national variety; Released state level variety; Released state variety,,1,2,Candidates reported from a historical series
ref_navi_elite_multiple_disease_2003,ref_navi_elite_multiple_disease_2003,ref_navi_elite_multiple_disease_2003,experiment:navi_elite_landraces_patancheru_2001,Publicly available study source,82,82,1,1,1,Elite landrace selected as disease free,,0,0,Sensitivity analysis using the 82 disease-free accessions reported by the source
ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,experiment_set:sharma_minicore_anthracnose_2009_2010+sharma_minicore_leaf_blight_2009_2010+sharma_minicore_rust_2010,Publicly available study source,676,243,3,4,5,Accession,pareto_sharma_full_anthracnose_years; pareto_sharma_resistance_selected_subset,4,38,Candidate results for a selected subset
ref_tesema_ethiopia_leaf_blight_2022,ref_tesema_ethiopia_leaf_blight_2022,ref_tesema_ethiopia_leaf_blight_2022,experiment:tesema_ethiopia_tlb_2018_two_location,Publicly available study source,252,15,1,9,2,Screened genotype; Susceptible check,,1,4,Candidate criterion applied across two locations
ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_protocol_2001,experiment:tesso_fusarium_stalk_rot_methods_program_2001_2002_2008,Publicly available study source,40,2,1,2,10,Resistant hybrid; Susceptible hybrid,,0,0,Methods and validation results
ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_protocol_2002,experiment:tesso_fusarium_stalk_rot_methods_program_2001_2002_2008,Publicly available study source,200,10,1,2,10,Protocol development hybrid,,0,0,Methods and validation results
ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009,ref_tesso_fusarium_stalk_rot_2009_validation_2008,experiment:tesso_fusarium_stalk_rot_methods_program_2001_2002_2008,Publicly available study source,118,59,1,2,1,Caudatum; cultivar; dura; Dura bicolor; guinea; Guinea bicolor; Guinea kafir; Inbred line; kafir; Kafir caudatum,pareto_tesso_2008_fusarium_stalk_rot_measurements,0,0,Methods and validation results
ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_field,experiment:thakur_indian_anthracnose_populations_1992_1996,Publicly available study source,180,15,1,2,6,Differential line; Susceptible check,,0,0,Pathogen differential study
ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_greenhouse,experiment:thakur_indian_anthracnose_populations_1992_1996,Publicly available study source,384,16,1,4,6,Differential line; Resistant check; Susceptible check,,0,0,Pathogen differential study
ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998,ref_thakur_indian_anthracnose_populations_1998_pathotype_summary,experiment:thakur_indian_anthracnose_populations_1992_1996,Publicly available study source,6,6,1,1,1,Pathogen isolate,,0,0,Pathogen differential study
ref_tomar_kansas_grain_mold_controls_2016,ref_tomar_kansas_grain_mold_controls_2016,ref_tomar_kansas_grain_mold_controls_2016,experiment:kansas_sap_f_thapsinum_2014_2015,Publicly available study source,96,8,1,2,6,Moderately resistant or susceptible check; Resistant check; Susceptible check,,0,0,Descriptive comparison of resistant and susceptible checks
senegal_head_smut_pathotype5,senegal_head_smut_pathotype5,ahn_2024_head_smut_p5,experiment:senegal_head_smut_pathotype5,Cited publication and associated public data file,306,153,1,1,1,Test accession,,0,0,Descriptive quantitative disease responses for accessions or lines
senegal_seedling_anthracnose,senegal_seedling_anthracnose,ahn_2022_seedling_anthracnose,experiment:senegal_seedling_anthracnose,Cited publication and associated public data file,1467,163,1,1,1,Reference check; Test accession,,1,143,Candidate criterion applied
