Reference identifier,DOI,OpenAlex identifier,Citing Prom publications (n),Citing Prom bibliography identifiers,Citing Prom publication titles,Citation source,Search record URL,Search finding
Oa:W6958995990,,W6958995990,1,prombib_142,Genome-wide association study of seed morphology traits in Senegalese sorghum cultivars,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W3125590945,,W3125590945,1,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6602387169,,W6602387169,1,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6640359030,,W6640359030,1,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6703008615,,W6703008615,1,prombib_145,"Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6796255830,,W6796255830,1,prombib_146,"Multi-trait Genome-wide Association Studies of Sorghum bicolor regarding resistance to anthracnose, downy mildew, grain mold and head smut",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6683673603,,W6683673603,1,prombib_149,Association analysis of grain mould resistance in a core collection of NPGS Ethiopian sorghum germplasm,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6692512456,,W6692512456,1,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6696947097,,W6696947097,1,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6786164076,,W6786164076,1,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6803882144,,W6803882144,1,prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6753578924,,W6753578924,1,prombib_151,Correlations among agronomic traits obtained from sorghum accessions planted in a field infected with three important fungal diseases,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6609417635,,W6609417635,1,prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6674647444,,W6674647444,1,prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6681367416,,W6681367416,1,prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6847834653,,W6847834653,1,prombib_156,Genetic and pathogenic variability among isolates of Sporisorium reilianum causing sorghum head smut,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6601482391,,W6601482391,1,prombib_157,Genome-wide association analysis uncovers genes associated with resistance to head smut pathotype 5 in senegalese sorghum accessions,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6756303833,,W6756303833,1,prombib_157,Genome-wide association analysis uncovers genes associated with resistance to head smut pathotype 5 in senegalese sorghum accessions,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6869410255,,W6869410255,1,prombib_158,Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6981235383,,W6981235383,1,prombib_158,Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W7073760023,,W7073760023,1,prombib_159,Genome-wide association study of seed morphology-related traits in sorghum mini core and Senegalese lines,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6634677644,,W6634677644,1,prombib_165,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6836101573,,W6836101573,1,prombib_165,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6881081297,,W6881081297,1,prombib_165,Machine learning reveals complex genetics of fungal resistance in sorghum grain mold,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W4206958471,,W4206958471,1,prombib_169,Unveiling the potential role of dhurrin in sorghum during infection by the head smut pathogen sporisorium reilianum f. sp. reilianum,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
